sample_size,num_attributes,num_fds,fd_density,minimal_cover_size,reduction_ratio,total_fd_sets,below_2nf_count,2nf_count,3nf_count,bcnf_count,below_2nf_rate,2nf_rate,3nf_rate,bcnf_rate
7,7,441,0.015873015873015872,5.698483,0.01292173015873016,60000,3356,2411,54159,74,0.055933333333333335,0.040183333333333335,0.90265,0.0012333333333333332
8,7,441,0.018140589569160998,6.289817,0.01426262358276644,60000,3836,2367,53770,27,0.06393333333333333,0.03945,0.8961666666666667,0.00045
9,7,441,0.02040816326530612,6.823167,0.015472034013605442,60000,4188,2329,53450,33,0.0698,0.038816666666666666,0.8908333333333334,0.00055
10,7,441,0.022675736961451247,7.296767,0.016545956916099773,30000,2251,1091,26629,29,0.07503333333333333,0.036366666666666665,0.8876333333333334,0.0009666666666666667
20,7,441,0.045351473922902494,9.811167,0.022247544217687074,30000,2248,231,27047,474,0.07493333333333334,0.0077,0.9015666666666666,0.0158
22,7,441,0.049886621315192746,9.992967,0.02265978911564626,30000,2141,183,26964,712,0.07136666666666666,0.0061,0.8988,0.023733333333333332
40,7,441,0.09070294784580499,9.962933,0.022591684807256235,30000,1564,3,23197,5236,0.05213333333333333,0.0001,0.7732333333333333,0.17453333333333335
44,7,441,0.09977324263038549,9.768067,0.02214981179138322,30000,1623,5,21733,6639,0.0541,0.00016666666666666666,0.7244333333333334,0.2213
60,7,441,0.1360544217687075,9.312933,0.021117761904761903,30000,1799,0,15240,12961,0.05996666666666667,0.0,0.508,0.4320333333333333
80,7,441,0.18140589569160998,8.636667,0.019584278911564622,30000,2015,0,7880,20105,0.06716666666666667,0.0,0.26266666666666666,0.6701666666666667
88,7,441,0.19954648526077098,8.5958,0.019491609977324263,30000,1900,0,5810,22290,0.06333333333333334,0.0,0.19366666666666665,0.743
100,7,441,0.22675736961451248,8.763833,0.019872637188208617,30000,1613,0,3558,24829,0.053766666666666664,0.0,0.1186,0.8276333333333333
105,7,441,0.23809523809523808,8.516533,0.01931186621315193,30000,1506,0,2859,25635,0.0502,0.0,0.0953,0.8545
